Intensitas_Belajar,Fokus_Belajar,Disiplin_Belajar,Interaksi_Belajar,Teknologi,Lingkungan_Belajar,Waktu_Efektif
2.0,2.0,2.0,2.0,1.0,2.0,2.0
2.0,2.0,2.0,1.0,1.0,1.0,1.0
0.0,2.0,0.0,1.0,2.0,0.0,0.0
2.0,2.0,2.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,2.0,1.0,1.0
