Parameter,Tested Values,Description
n_estimators,"100, 150, 200",Number of decision trees in the Random Forest
max_depth,"None, 10, 15, 20",Maximum depth of each tree
min_samples_split,"2, 3, 5",Minimum number of samples required to split an internal node
min_samples_leaf,"1, 2, 4",Minimum number of samples required to be at a leaf node
max_features,"sqrt, log2",Number of features considered when looking for the best split
