Iteration,Mean CV F1-Score
1,0.7844091745938205
2,0.79520814672078
3,0.7745810620227677
4,0.7912406482390619
5,0.7912406482390619
6,0.7745810620227677
7,0.7924463499145251
8,0.7930340483071016
9,0.7923514319698249
10,0.7781407113385146
11,0.79520814672078
12,0.7745810620227677
13,0.7780262892072906
14,0.7844091745938205
15,0.7867540669116125
16,0.7876081977928437
17,0.7867540669116125
18,0.79520814672078
19,0.7930340483071016
20,0.7844091745938205
21,0.79520814672078
22,0.783091152480159
23,0.7930340483071016
24,0.7930340483071016
25,0.7924463499145251
26,0.7876081977928437
27,0.7924463499145251
28,0.7923514319698249
29,0.79520814672078
30,0.7867540669116125
